0,-0.00026298,0.00075713,-0.0027077,2.33E-07,-1.12E-06,-1.07E-07
1,-0.00012956,0.00071702,-0.0025826,-2.65E-08,-2.11E-06,-7.13E-08
2,-0.00010089,0.00067578,-0.0024485,-5.86E-08,-2.43E-06,5.71E-08
3,-0.00014555,0.00064845,-0.0023385,1.40E-07,-2.00E-06,1.14E-07
4,-0.00017489,0.00063334,-0.0022537,2.04E-07,-1.32E-06,-4.88E-08
5,-0.00015881,0.00061699,-0.0021672,-1.37E-07,-8.30E-07,-2.32E-07
6,-0.00013285,0.00059429,-0.0020634,-4.54E-07,-4.85E-07,-5.09E-08
7,-0.00012684,0.00057355,-0.0019579,-3.63E-08,1.06E-07,3.76E-07
8,-0.00013128,0.00056061,-0.0018704,7.56E-07,7.58E-07,3.03E-07
9,-0.00012172,0.00054706,-0.001794,4.50E-07,4.34E-07,-4.94E-07
10,-8.87E-05,0.0005221,-0.0017101,-1.21E-06,-9.86E-07,-8.27E-07
11,-4.94E-05,0.00048869,-0.0016171,-1.74E-06,-1.37E-06,4.19E-07
12,-3.65E-05,0.0004592,-0.0015289,8.30E-07,8.83E-07,1.84E-06
13,-6.42E-05,0.00044192,-0.0014521,3.63E-06,2.77E-06,6.79E-07
14,-0.00010359,0.00043509,-0.0013834,1.93E-06,-6.77E-07,-2.30E-06
15,-0.00011073,0.00043,-0.0013202,-1.29E-06,-7.27E-06,-2.01E-06
16,-8.30E-05,0.00041917,-0.0012591,4.17E-06,-6.87E-06,2.56E-06
17,-6.18E-05,0.00040401,-0.0011969,1.74E-05,3.45E-06,1.89E-06
18,-7.10E-05,0.00039054,-0.0011395,1.34E-05,7.87E-06,-1.28E-05
19,-8.64E-05,0.00038117,-0.0011011,-3.41E-05,-9.17E-06,-3.00E-05
20,-8.25E-05,0.00037593,-0.0010838,-0.00011836,-2.86E-05,-2.29E-05
21,-7.45E-05,0.00037375,-0.0010707,-0.00021509,-4.83E-06,2.16E-05
22,-8.42E-05,0.00037035,-0.00105,-0.00034434,7.05E-05,0.00010166
23,-0.00010078,0.00036397,-0.0010352,-0.00059306,0.00014542,0.00025482
24,-0.00010274,0.00036005,-0.0010356,-0.0010393,0.00020837,0.00057774
25,-9.55E-05,0.00036282,-0.0010264,-0.0016779,0.00041657,0.0011451
26,-0.00010449,0.00036545,-0.00099467,-0.0024991,0.0010394,0.0019532
27,-0.00013001,0.00035694,-0.0010142,-0.0036478,0.0022172,0.0029967
28,-0.00011722,0.00034137,-0.0012371,-0.0054133,0.0038771,0.0043588
29,-1.02E-05,0.00034084,-0.0018076,-0.0080287,0.005999,0.0061861
30,0.00010274,0.00036153,-0.002817,-0.011558,0.0088706,0.0086074
